field,value
title,Media Act 2024
type,ukpga
year,2024
number,15
status,revised
isbn,9780105702658
provisions,382
extent,E+W+S+N.I.
enactment_date,2024-05-24
last_modified,2026-01-16
valid_from,2026-01-01
uri,http://www.legislation.gov.uk/ukpga/2024/15
id_uri,http://www.legislation.gov.uk/ukpga/2024/15
xml_url,http://www.legislation.gov.uk/ukpga/2024/15/data.xml
pdf_url,http://www.legislation.gov.uk/ukpga/2024/15/pdfs/ukpga_20240015_en.pdf
version_count,7
structure.introduction,http://www.legislation.gov.uk/ukpga/2024/15/introduction
structure.body,http://www.legislation.gov.uk/ukpga/2024/15/body
structure.schedules,http://www.legislation.gov.uk/ukpga/2024/15/schedules
structure.contents,http://www.legislation.gov.uk/ukpga/2024/15/contents

formats.type,formats.url
application/akn+xhtml,http://www.legislation.gov.uk/ukpga/2024/15/data.html
application/akn+xml,http://www.legislation.gov.uk/ukpga/2024/15/data.akn
application/pdf,http://www.legislation.gov.uk/ukpga/2024/15/data.pdf
application/rdf+xml,http://www.legislation.gov.uk/ukpga/2024/15/data.rdf
application/xhtml+xml,http://www.legislation.gov.uk/ukpga/2024/15/data.xht
text/csv,http://www.legislation.gov.uk/ukpga/2024/15/data.csv
text/html,http://www.legislation.gov.uk/ukpga/2024/15/data.htm

versions.date,versions.url
2024-05-24,http://www.legislation.gov.uk/ukpga/2024/15/2024-05-24
2024-07-24,http://www.legislation.gov.uk/ukpga/2024/15/2024-07-24
2024-08-23,http://www.legislation.gov.uk/ukpga/2024/15/2024-08-23
2024-10-17,http://www.legislation.gov.uk/ukpga/2024/15/2024-10-17
2025-10-01,http://www.legislation.gov.uk/ukpga/2024/15/2025-10-01
2026-01-01,http://www.legislation.gov.uk/ukpga/2024/15/2026-01-01
enacted,http://www.legislation.gov.uk/ukpga/2024/15/enacted

effects.affecting_legislation,effects.effect_type,effects.affected_provision,effects.affecting_provision,effects.condition,effects.last_modified
http://www.legislation.gov.uk/id/uksi/2024/858,coming into force,Sch. 2 para. 12(2),reg. 4(a),comes into force on the date on which section 299(1) of the 2003 Act comes into force; entered into conditional commencement spreadsheet,2024-08-22
http://www.legislation.gov.uk/id/uksi/2024/858,coming into force,Sch. 4 para. 23(b),reg. 4(a),comes into force on the date on which section 299(1) of the 2003 Act comes into force; entered into conditional commencement spreadsheet,2024-08-22
http://www.legislation.gov.uk/id/uksi/2024/858,coming into force,Sch. 4 para. 53,reg. 2(1)(x) 4(b),comes into force on the date on which paragraph 5 of Schedule 12 to the 2003 Act comes into force; entered into conditional commencement spreadsheet,2024-08-22
http://www.legislation.gov.uk/id/uksi/2024/858,coming into force,Sch. 4 para. 54,reg. 2(1)(x) 4(c),comes into force on the date on which paragraph 6 of Schedule 12 to the 2003 Act comes into force; entered into conditional commencement spreadsheet,2024-08-22

